customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,policy_type,vehicle_class,total_claim_amount,clean_complaints
YD87931,Washington,Male,Doctor,4951.6561,46896.0,35354.0,Personal Auto,Four-Door Car,31.707317,1
HG65722,Oregon,U,Doctor,12819.1029,10105.0,172.0,Personal Auto,SUV,0.517753,3
BU27331,Arizona,U,Bachelor,4468.5105,0.0,73.0,Personal Auto,Four-Door Car,579.165954,3
XM45289,Oregon,U,High School or Below,5514.344,23218.0,71.0,Personal Auto,Two-Door Car,447.79344,0
KP34198,California,U,Bachelor,3343.8753,0.0,92.0,Corporate Auto,Four-Door Car,529.624084,0
SH90947,Arizona,U,High School or Below,2294.4789,0.0,62.0,Personal Auto,Four-Door Car,313.023175,0
WE95729,Oregon,U,College,36707.426400000004,24804.0,104.0,Personal Auto,SUV,593.830288,0
PY51963,California,U,Bachelor,33473.349500000004,33190.0,106.0,Corporate Auto,SUV,508.8,0
RB69909,Nevada,U,High School or Below,7983.4317,36014.0,69.0,Special Auto,Four-Door Car,173.956072,3
NW21079,Washington,Female,Master,4879.3848,67163.0,61.0,Personal Auto,Two-Door Car,33.192803,2
FR46645,California,U,Bachelor,4293.9973,16701.0,113.0,Personal Auto,Four-Door Car,831.625979,0
SY17488,Arizona,U,College,7164.3955000000005,46623.0,91.0,Corporate Auto,Four-Door Car,436.8,0
AP67935,California,U,College,7619.515799999999,64749.0,64.0,Special Auto,Four-Door Car,302.56519,0
FS37417,Arizona,U,High School or Below,3958.0028,0.0,101.0,Personal Auto,SUV,484.8,0
ML29312,Oregon,U,High School or Below,4499.4933,16969.0,124.0,Personal Auto,SUV,704.768111,2
UB61619,Oregon,U,Master,4059.5674,11621.0,108.0,Personal Auto,Four-Door Car,518.4,0
CD86811,Arizona,U,Bachelor,4458.1134,17622.0,65.0,Personal Auto,Four-Door Car,312.0,1
RU83859,California,U,Bachelor,8110.333100000001,11489.0,105.0,Personal Auto,Two-Door Car,504.0,0
FG63582,Oregon,U,Bachelor,3339.7649,0.0,94.0,Personal Auto,Two-Door Car,863.327324,0
NN71951,California,U,High School or Below,24261.017799999998,66525.0,100.0,Personal Auto,SUV,104.331355,0
WB37082,Arizona,U,Bachelor,6613.9737,0.0,63.0,Personal Auto,Four-Door Car,676.391482,0
SM52139,Washington,U,College,2930.6935,33663.0,73.0,Personal Auto,Four-Door Car,350.4,0
FL82372,Oregon,U,College,8672.194300000001,22547.0,112.0,Corporate Auto,SUV,537.6,0
DP45816,Arizona,U,High School or Below,11638.6693,61486.0,97.0,Personal Auto,Two-Door Car,465.258644,0
GW33762,Oregon,U,Bachelor,6846.1503,0.0,95.0,Personal Auto,Two-Door Car,456.0,0
RZ33670,California,U,College,11727.7765,29879.0,102.0,Personal Auto,Four-Door Car,500.254235,0
PY70169,Oregon,U,High School or Below,22643.8348,93011.0,113.0,Personal Auto,SUV,281.451042,0
MO91628,Oregon,U,Master,2614.4743,65186.0,65.0,Personal Auto,Two-Door Car,5.434505,0
HW87852,Oregon,U,Master,2451.7527,26840.0,64.0,Personal Auto,Four-Door Car,307.2,2
HB20453,Oregon,U,Bachelor,6781.2702,0.0,104.0,Personal Auto,Luxury,982.399613,1
BN87372,Oregon,U,Bachelor,4974.8015000000005,75644.0,65.0,Personal Auto,Two-Door Car,467.803638,3
YX23800,Oregon,U,Bachelor,8591.6049,38984.0,73.0,Personal Auto,Four-Door Car,350.4,0
DZ87709,Oregon,U,High School or Below,5592.1614,71811.0,71.0,Personal Auto,Four-Door Car,29.03416,0
XW13033,Nevada,U,College,8009.4728000000005,20961.0,67.0,Personal Auto,Four-Door Car,321.6,0
OM82309,California,U,Bachelor,58166.553499999995,61321.0,186.0,Personal Auto,Luxury,427.63121,1
ZU35962,California,U,College,8025.229399999999,0.0,77.0,Personal Auto,Two-Door Car,25.807685,0
VH85817,California,U,High School or Below,5780.182199999999,51066.0,74.0,Personal Auto,Four-Door Car,787.993313,0
DT85712,California,U,Doctor,4118.5391,34378.0,102.0,Personal Auto,SUV,489.6,0
YJ88573,Nevada,U,Master,2523.0702,43072.0,63.0,Personal Auto,Four-Door Car,302.4,0
SQ19467,Oregon,U,College,6554.2164,25222.0,90.0,Personal Auto,Four-Door Car,475.623251,0
YB66933,Washington,Female,Bachelor,5382.7519999999995,77552.0,68.0,Corporate Auto,Four-Door Car,45.215059,1
ET79815,California,U,College,5926.729399999999,23091.0,96.0,Personal Auto,Four-Door Car,460.8,5
QC35222,California,U,Bachelor,2683.4707,48269.0,69.0,Corporate Auto,Four-Door Car,282.151207,3
CJ15590,Oregon,U,Bachelor,2695.1823999999997,32720.0,67.0,Personal Auto,Four-Door Car,321.6,0
OI48267,California,U,College,6047.0252,20396.0,76.0,Personal Auto,Four-Door Car,364.8,1
JY67916,Oregon,U,College,13171.0128,21513.0,119.0,Personal Auto,Two-Door Car,679.827592,1
OW15518,Washington,Female,College,15950.0195,0.0,87.0,Personal Auto,Two-Door Car,46.041452,1
CZ33664,Oregon,U,Bachelor,2527.6538,80744.0,63.0,Corporate Auto,Four-Door Car,11.879037,0
WK30175,Oregon,U,Bachelor,2672.0958,52822.0,67.0,Corporate Auto,Two-Door Car,350.529033,0
ON44465,California,U,High School or Below,5313.294,0.0,77.0,Personal Auto,Four-Door Car,863.3947,1
TV87155,Oregon,U,Bachelor,20946.1925,69738.0,74.0,Personal Auto,Four-Door Car,492.127532,1
KH48895,Arizona,U,Master,8375.3539,17780.0,109.0,Personal Auto,SUV,132.588288,0
NZ30757,California,U,Bachelor,4801.6615,18107.0,62.0,Personal Auto,Four-Door Car,297.6,0
RI22468,Arizona,U,Bachelor,5745.9433,57740.0,74.0,Personal Auto,Four-Door Car,269.905129,3
FZ30935,Oregon,U,College,6066.116,32627.0,76.0,Personal Auto,Two-Door Car,380.036697,0
UG93476,California,U,College,8002.3083,0.0,107.0,Personal Auto,SUV,513.6,0
AB96670,California,U,College,2393.9154,0.0,70.0,Personal Auto,Four-Door Car,425.266308,0
XK64261,Oregon,U,Bachelor,4762.8179,65795.0,62.0,Corporate Auto,Two-Door Car,49.011099,1
EV68375,California,U,College,4330.3859999999995,60475.0,107.0,Personal Auto,Four-Door Car,513.6,0
UN51653,California,U,High School or Below,9402.7298,0.0,130.0,Personal Auto,SUV,936.0,0
TO96662,Oregon,U,Bachelor,6966.6945,41837.0,88.0,Personal Auto,Four-Door Car,142.062768,0
MR52087,California,U,Bachelor,7694.064300000001,32303.0,65.0,Personal Auto,Four-Door Car,45.152521,0
DE75225,Oregon,U,High School or Below,8717.561099999999,0.0,117.0,Personal Auto,SUV,561.6,1
EP80820,California,U,Bachelor,5928.7485,40531.0,74.0,Personal Auto,Two-Door Car,30.567357,0
GU99037,Oregon,U,College,2452.9773,79898.0,62.0,Corporate Auto,Four-Door Car,271.606799,1
WI57118,California,U,College,6701.5717,56398.0,85.0,Personal Auto,Four-Door Car,408.0,0
GP39118,Washington,Male,High School or Below,4996.5527,71600.0,63.0,Personal Auto,Two-Door Car,46.158117,0
MQ14219,Arizona,U,College,8492.6988,27804.0,109.0,Personal Auto,SUV,784.8,0
KN20603,Oregon,U,Bachelor,7713.494000000001,45506.0,66.0,Personal Auto,Four-Door Car,316.8,2
SG20925,Washington,Female,Master,5185.7976,99428.0,6464.0,Personal Auto,Four-Door Car,48.046869,1
JI70886,California,U,High School or Below,7290.0698,0.0,102.0,Corporate Auto,SUV,489.6,1
VF72557,Oregon,U,High School or Below,4772.9438,20993.0,133.0,Personal Auto,SUV,638.4,0
OX28638,Arizona,U,High School or Below,6806.4914,37839.0,86.0,Personal Auto,Two-Door Car,465.633954,0
SK55033,California,U,Bachelor,2469.7813,92711.0,62.0,Personal Auto,Two-Door Car,368.400146,0
OO88645,California,U,College,3103.923,74665.0,78.0,Corporate Auto,Four-Door Car,236.902001,2
FM14335,Washington,Female,College,10484.9154,61108.0,89.0,Personal Auto,Four-Door Car,49.451117,0
CW82151,California,U,Bachelor,8902.7376,46833.0,112.0,Personal Auto,Luxury,64.109663,0
DY22043,Oregon,U,High School or Below,5499.4472,88768.0,68.0,Personal Auto,Two-Door Car,326.4,0
SH36774,California,U,High School or Below,15023.598600000001,28262.0,192.0,Personal Auto,Luxury,921.6,0
EM43724,Nevada,U,Bachelor,2509.1079,33555.0,63.0,Personal Auto,Four-Door Car,101.89645,0
FH85960,Oregon,U,College,31221.7481,42780.0,113.0,Personal Auto,Four-Door Car,542.4,1
XA55993,Oregon,U,Master,3133.5034,58850.0,78.0,Personal Auto,Four-Door Car,143.747794,0
GO36627,Arizona,U,College,3837.4519,21880.0,97.0,Special Auto,Four-Door Car,424.077159,0
QH48047,Oregon,U,College,11790.496200000001,25251.0,66.0,Personal Auto,Four-Door Car,316.8,0
HS28694,Washington,Female,High School or Below,2829.8639000000003,25317.0,71.0,Personal Auto,Two-Door Car,50.422181,0
UH65059,Arizona,U,High School or Below,4305.808300000001,24188.0,109.0,Personal Auto,Luxury,523.2,0
FV21968,Nevada,U,Bachelor,5973.9769,41611.0,74.0,Special Auto,Four-Door Car,113.801497,0
QA87025,Oregon,U,Bachelor,5670.4424,28406.0,72.0,Personal Auto,Four-Door Car,192.87572,1
TQ13499,Arizona,U,College,4731.7492999999995,69833.0,118.0,Personal Auto,Four-Door Car,828.662719,0
BU44523,Arizona,U,High School or Below,8026.379599999999,0.0,74.0,Corporate Auto,Four-Door Car,532.8,0
MS41162,Arizona,U,High School or Below,4022.9635,0.0,117.0,Personal Auto,SUV,975.107098,0
PU25891,Oregon,U,High School or Below,9618.3109,80536.0,119.0,Special Auto,Luxury,53.798708,0
LH92841,Washington,Female,Bachelor,7255.9538,88891.0,89.0,Personal Auto,Four-Door Car,50.528355,0
SX26335,Oregon,U,College,9552.926899999999,97732.0,79.0,Personal Auto,Four-Door Car,289.9122,0
AZ95587,Arizona,Female,Bachelor,10388.5532,61222.0,89.0,Special Auto,Four-Door Car,392.604371,0
DS81757,Oregon,Male,College,2470.1212,0.0,74.0,Personal Auto,Two-Door Car,721.242206,0
OJ94107,Arizona,Male,Master,5619.068499999999,50335.0,140.0,Personal Auto,SUV,456.52385,0
LP84436,California,Female,High School or Below,9047.119200000001,0.0,127.0,Personal Auto,Luxury,1087.995426,0
FF22360,Washington,Female,Doctor,2687.3140999999996,82210.0,68.0,Personal Auto,Four-Door Car,51.961915,4
LM19287,Oregon,Female,High School or Below,3731.5046,0.0,96.0,Personal Auto,Four-Door Car,460.8,0
ZU18643,Nevada,Male,Bachelor,3660.7703,64495.0,92.0,Corporate Auto,Four-Door Car,251.992083,0
AZ82578,California,Female,College,7928.8293,0.0,72.0,Corporate Auto,Four-Door Car,345.6,0
XC67861,Arizona,Female,Bachelor,5011.7516,28859.0,67.0,Corporate Auto,Two-Door Car,321.6,3
YC43143,Arizona,Female,High School or Below,7988.2582999999995,77330.0,99.0,Personal Auto,Four-Door Car,99.257608,0
EK59571,Oregon,Male,College,3885.4564,0.0,105.0,Corporate Auto,Four-Door Car,504.0,0
PA38372,Washington,Female,High School or Below,9357.7378,33060.0,117.0,Personal Auto,Four-Door Car,56.731578,0
RO18530,Washington,Male,Master,2540.6898,42557.0,65.0,Personal Auto,Four-Door Car,57.562324,0
PD27940,Arizona,Male,High School or Below,4885.1625,26372.0,126.0,Personal Auto,SUV,604.8,0
BS77946,Arizona,Female,Bachelor,9753.3071,17514.0,127.0,Personal Auto,SUV,8.312729,0
YM50253,California,Female,Bachelor,2946.1537,89270.0,74.0,Personal Auto,Four-Door Car,316.599228,0
NR15332,California,Male,High School or Below,2581.1109,29757.0,65.0,Personal Auto,Four-Door Car,312.0,0
RC62865,Oregon,Male,College,3517.3858,51814.0,92.0,Personal Auto,Four-Door Car,56.300724,0
CC15295,Oregon,Female,Bachelor,9743.3501,24028.0,82.0,Personal Auto,Four-Door Car,393.6,0
KA61892,Arizona,Male,College,3873.647,28142.0,105.0,Personal Auto,Luxury,701.708239,0
OS94884,Arizona,Female,Bachelor,7649.281999999999,52705.0,64.0,Personal Auto,Two-Door Car,128.705563,1
ND87334,California,Male,High School or Below,2287.5969,0.0,63.0,Corporate Auto,Two-Door Car,679.368378,0
OY51402,Washington,Female,High School or Below,8255.7639,54040.0,103.0,Personal Auto,SUV,59.987126,0
YL74911,California,Female,College,8714.9221,0.0,118.0,Personal Auto,SUV,566.4,0
GK92563,Washington,Female,Doctor,6819.2312,22492.0,85.0,Personal Auto,Two-Door Car,61.654262,0
HL53154,California,Male,Bachelor,7416.1973,0.0,77.0,Personal Auto,Four-Door Car,554.4,2
RI78966,Oregon,Male,Master,7771.159000000001,21876.0,68.0,Personal Auto,Four-Door Car,465.41477,0
IC13702,California,Female,Bachelor,6968.341899999999,0.0,69.0,Personal Auto,Four-Door Car,496.8,1
BE10809,California,Female,High School or Below,4250.2826000000005,0.0,61.0,Personal Auto,Four-Door Car,292.8,1
HT87217,Oregon,Female,High School or Below,19776.5665,70699.0,82.0,Personal Auto,Four-Door Car,256.813837,0
TH95618,California,Female,High School or Below,21343.466,0.0,74.0,Personal Auto,Four-Door Car,355.2,1
TS19868,California,Male,College,2413.1397,27501.0,63.0,Personal Auto,Four-Door Car,542.319401,0
LP45550,Oregon,Female,Doctor,15363.8472,15897.0,101.0,Personal Auto,Four-Door Car,303.148399,0
QR87004,Nevada,Female,College,8456.9619,25141.0,73.0,Personal Auto,Four-Door Car,25.438063,1
OE75747,Nevada,Female,College,2189.6425,0.0,61.0,Personal Auto,Four-Door Car,292.8,3
DX91392,California,Male,High School or Below,5780.182199999999,51066.0,74.0,Personal Auto,Four-Door Car,787.993313,0
AB72731,California,Female,Bachelor,4639.9816,28358.0,117.0,Personal Auto,Luxury,84.024413,0
GX84338,Washington,Female,Doctor,3824.4313,62530.0,95.0,Personal Auto,Four-Door Car,61.693771,0
IS12901,Arizona,Female,Bachelor,5968.1189,90972.0,74.0,Personal Auto,Two-Door Car,232.926145,0
BN90616,Washington,Female,Bachelor,8590.335,63110.0,72.0,Personal Auto,Four-Door Car,68.179721,0
HH90090,California,Female,Bachelor,4076.6346999999996,29549.0,104.0,Personal Auto,Luxury,710.433775,0
IU25463,California,Female,Bachelor,12252.601799999999,0.0,115.0,Personal Auto,Four-Door Car,552.0,1
KC11055,Nevada,Female,Bachelor,16936.2715,39411.0,217.0,Personal Auto,Luxury,1122.658899,2
PD33979,Oregon,Male,High School or Below,4892.4355,21709.0,62.0,Personal Auto,Four-Door Car,408.374746,0
NK71023,Nevada,Male,Bachelor,9942.3048,67890.0,85.0,Personal Auto,Four-Door Car,408.0,0
AB13432,California,Male,Bachelor,3735.8381,0.0,110.0,Personal Auto,SUV,792.0,0
OZ97704,California,Female,High School or Below,13117.5222,84311.0,111.0,Personal Auto,SUV,532.8,4
UF46533,California,Female,College,4574.5241,99316.0,114.0,Corporate Auto,SUV,754.358929,0
XP47431,Arizona,Female,Bachelor,5470.060600000001,54507.0,138.0,Personal Auto,SUV,702.990032,0
GK73582,California,Female,Bachelor,2978.8459999999995,64586.0,76.0,Personal Auto,Four-Door Car,206.837111,0
RV98763,Oregon,Male,College,6410.9675,61709.0,82.0,Personal Auto,Four-Door Car,275.395894,2
II62831,California,Male,Master,4479.0231,94656.0,111.0,Special Auto,SUV,459.738128,1
XK33449,California,Female,High School or Below,2383.7319,0.0,69.0,Special Auto,Two-Door Car,496.8,0
TR85083,California,Male,Bachelor,2764.4937,61085.0,70.0,Personal Auto,Two-Door Car,336.0,1
EO95328,Oregon,Female,Bachelor,7920.1054,89284.0,67.0,Personal Auto,Two-Door Car,321.6,3
EN21086,Arizona,Female,High School or Below,6889.098000000001,0.0,63.0,Personal Auto,Four-Door Car,302.4,0
YL83902,Washington,Female,Bachelor,3274.1946000000003,31686.0,81.0,Personal Auto,Four-Door Car,430.994107,0
AZ62651,Oregon,Male,High School or Below,9951.7077,56855.0,255.0,Corporate Auto,Luxury,1836.0,0
ZW25874,Oregon,Male,Bachelor,2521.5557,53703.0,67.0,Special Auto,Four-Door Car,67.632476,2
EH41854,Washington,Female,High School or Below,23706.1134,0.0,96.0,Personal Auto,Two-Door Car,844.481918,1
MW70227,California,Male,College,6047.0252,20396.0,76.0,Personal Auto,Four-Door Car,364.8,1
SL22297,California,Female,Master,11140.3025,27679.0,150.0,Personal Auto,SUV,722.486994,0
RV14138,Nevada,Female,Bachelor,4334.0641,23904.0,123.0,Personal Auto,SUV,590.4,3
UO62808,Arizona,Female,High School or Below,2799.7479,65351.0,69.0,Corporate Auto,Four-Door Car,481.027516,0
ZX64745,California,Male,College,7923.136600000001,0.0,113.0,Personal Auto,SUV,1124.427734,0
FL34139,California,Male,High School or Below,3688.1109,0.0,63.0,Personal Auto,Four-Door Car,669.682001,3
TS11219,California,Male,College,12067.456,0.0,116.0,Personal Auto,SUV,1284.093173,0
XX12304,California,Female,College,2924.9766999999997,64459.0,72.0,Personal Auto,Four-Door Car,240.259479,0
SD64087,California,Male,College,15014.092700000001,32961.0,190.0,Corporate Auto,SUV,912.0,0
OY38576,Oregon,Female,High School or Below,9277.2338,71416.0,116.0,Corporate Auto,SUV,556.8,0
BG76355,Washington,Female,Bachelor,6274.1239000000005,68964.0,78.0,Personal Auto,Four-Door Car,115.086827,0
IP66913,California,Male,High School or Below,3886.6474,78108.0,98.0,Personal Auto,Two-Door Car,470.4,0
LE95702,California,Male,College,4386.2776,10621.0,67.0,Special Auto,Four-Door Car,321.6,0
KX54357,Washington,Male,College,11365.2677,84910.0,95.0,Corporate Auto,Two-Door Car,383.167471,0
EZ78112,California,Female,High School or Below,5610.964300000001,77493.0,70.0,Special Auto,Four-Door Car,307.963291,0
XN16891,Arizona,Male,College,2912.8920000000003,81097.0,74.0,Personal Auto,Four-Door Car,355.2,0
XK31350,Oregon,Female,College,6915.7299,96610.0,85.0,Corporate Auto,Four-Door Car,520.364752,0
CC30924,Oregon,Male,College,6262.663299999999,30110.0,159.0,Corporate Auto,Luxury,466.436375,0
IT78748,Oregon,Female,High School or Below,6503.397,22081.0,84.0,Special Auto,Two-Door Car,451.670309,0
KY33386,Washington,Female,High School or Below,8007.399399999999,0.0,112.0,Personal Auto,Luxury,537.6,0
CO44221,California,Male,College,2929.9165000000003,98473.0,72.0,Personal Auto,Four-Door Car,345.6,0
LK60013,Oregon,Female,Bachelor,5969.553000000001,97431.0,74.0,Personal Auto,Four-Door Car,355.2,0
DE21533,California,Male,Bachelor,5473.1599,93870.0,69.0,Personal Auto,Four-Door Car,331.2,0
YS94121,Nevada,Male,High School or Below,5645.3967,50366.0,72.0,Personal Auto,Four-Door Car,428.734656,0
UK68427,Washington,Male,High School or Below,6369.2624,34498.0,83.0,Personal Auto,Two-Door Car,398.4,0
TE49565,Oregon,Female,College,11833.7673,16552.0,103.0,Personal Auto,SUV,494.4,0
RA88421,Oregon,Female,College,6121.1079,26787.0,77.0,Personal Auto,Four-Door Car,369.6,0
KQ51983,Nevada,Male,College,5159.369699999999,0.0,74.0,Personal Auto,Two-Door Car,831.752839,0
CD88896,Nevada,Female,High School or Below,2514.592,43860.0,65.0,Corporate Auto,Four-Door Car,156.124914,0
YV22553,Arizona,Male,High School or Below,8668.6113,21474.0,114.0,Corporate Auto,SUV,373.428187,2
WU14435,California,Male,Bachelor,4960.9654,18174.0,66.0,Corporate Auto,Four-Door Car,395.934815,0
XV84099,Arizona,Female,Bachelor,5504.139,0.0,73.0,Corporate Auto,Four-Door Car,350.4,0
RI24911,Arizona,U,College,7507.455400000001,60920.0,64.0,Personal Auto,Two-Door Car,231.201886,0
KO26461,Arizona,U,High School or Below,32269.8514,41520.0,90.0,Personal Auto,Four-Door Car,289.904105,0
HI14283,Oregon,Female,Bachelor,5657.0316,0.0,152.0,Personal Auto,SUV,729.6,0
PT50227,Arizona,U,High School or Below,5061.7579,0.0,68.0,Personal Auto,Two-Door Car,326.4,0
BH36570,California,U,Bachelor,5912.7838,72208.0,73.0,Personal Auto,Two-Door Car,350.4,0
TX17484,California,Female,Bachelor,15182.2798,53863.0,63.0,Personal Auto,Four-Door Car,105.765111,0
CT41158,Washington,U,College,10747.030900000002,66446.0,136.0,Corporate Auto,SUV,639.464548,0
AO87348,Washington,U,College,2050.6235,0.0,61.0,Personal Auto,Four-Door Car,292.8,0
DE55857,Washington,Female,Bachelor,2465.4449,64997.0,63.0,Personal Auto,Four-Door Car,383.442328,1
LF66923,Nevada,Female,High School or Below,5343.1213,64460.0,66.0,Corporate Auto,Two-Door Car,316.8,0
CN24514,Arizona,Female,College,8119.8291,46618.0,67.0,Personal Auto,Four-Door Car,99.085943,0
UW32074,Oregon,Female,College,4605.2652,0.0,64.0,Corporate Auto,Four-Door Car,307.2,0
HP36979,California,U,College,6408.7856,49988.0,84.0,Personal Auto,Two-Door Car,566.935022,5
PP40919,California,Female,College,2376.5335,0.0,91.0,Personal Auto,Two-Door Car,436.8,5
RO73268,California,Male,Bachelor,3211.07,16269.0,86.0,Corporate Auto,Two-Door Car,412.8,0
HO61691,Arizona,Female,Bachelor,5094.5223,72006.0,64.0,Personal Auto,Four-Door Car,307.2,0
BS13062,Arizona,Female,High School or Below,25755.278199999997,0.0,81.0,Personal Auto,Four-Door Car,388.8,2
FO35655,Oregon,Male,Bachelor,8672.2297,0.0,245.0,Corporate Auto,Luxury,2345.413441,0
HR10526,California,Male,Master,8044.730699999999,44320.0,67.0,Personal Auto,Four-Door Car,321.6,0
IA63417,Arizona,Female,High School or Below,4001.5190999999995,19782.0,108.0,Personal Auto,Two-Door Car,773.470977,0
BH35016,Nevada,Female,Bachelor,16706.117,63933.0,70.0,Personal Auto,Two-Door Car,424.883448,0
PK52952,Arizona,Male,Doctor,8544.4111,28224.0,109.0,Personal Auto,SUV,523.2,0
OD76309,Washington,Female,College,7805.312900000001,21073.0,106.0,Personal Auto,SUV,508.8,1
IL28481,Oregon,Male,Bachelor,6112.756899999999,63243.0,77.0,Personal Auto,Four-Door Car,364.240307,0
GY55092,Nevada,Male,High School or Below,4772.9438,20993.0,133.0,Personal Auto,SUV,638.4,0
UF33451,Oregon,Female,Bachelor,10979.0956,94827.0,135.0,Personal Auto,SUV,354.729129,0
CF15558,California,Female,Master,5004.2638,39161.0,63.0,Personal Auto,Two-Door Car,283.995953,1
JM62924,Washington,Male,Bachelor,13223.0438,37534.0,84.0,Personal Auto,Four-Door Car,403.2,2
EM66435,Oregon,Female,Bachelor,2623.3154,80210.0,65.0,Corporate Auto,Four-Door Car,20.543176,0
QX45933,California,Male,Bachelor,17840.1956,0.0,62.0,Personal Auto,Four-Door Car,385.115437,0
JI71369,California,Female,College,5106.1118,30110.0,64.0,Personal Auto,Four-Door Car,140.165035,0
JU93290,Arizona,Female,College,17930.6045,21708.0,68.0,Personal Auto,Four-Door Car,326.4,0
GU66096,Arizona,Male,High School or Below,5457.3426,94731.0,67.0,Personal Auto,Four-Door Car,321.6,0
UC33108,California,Male,Bachelor,6563.6441,32375.0,83.0,Personal Auto,Four-Door Car,398.4,0
LW93867,Oregon,Male,College,4812.5252,16531.0,63.0,Corporate Auto,Four-Door Car,102.879769,0
OU78470,Arizona,Female,Master,29328.0419,32006.0,94.0,Corporate Auto,Four-Door Car,56.868289,0
